filename,Violate MR-1 by 3 colors,Violate MR-1 by 15 colors,Violate MR-2 by 3 colors,Violate MR-2 by 15 colors
ILSVRC2012_val_00000538.JPEG,False,False,False,False
ILSVRC2012_val_00000539.JPEG,False,False,False,False
ILSVRC2012_val_00000540.JPEG,False,False,False,False
ILSVRC2012_val_00000541.JPEG,False,False,False,False
ILSVRC2012_val_00000544.JPEG,False,False,False,False
ILSVRC2012_val_00000545.JPEG,True,True,False,False
ILSVRC2012_val_00000547.JPEG,False,False,False,False
ILSVRC2012_val_00000548.JPEG,False,False,False,False
ILSVRC2012_val_00000550.JPEG,False,False,False,False
ILSVRC2012_val_00000551.JPEG,False,False,True,False
ILSVRC2012_val_00000552.JPEG,False,False,True,True
ILSVRC2012_val_00000553.JPEG,False,False,False,False
ILSVRC2012_val_00000555.JPEG,False,False,False,True
ILSVRC2012_val_00000556.JPEG,False,False,False,False
ILSVRC2012_val_00000559.JPEG,False,False,False,False
ILSVRC2012_val_00000560.JPEG,False,False,False,False
ILSVRC2012_val_00000562.JPEG,False,False,False,False
ILSVRC2012_val_00000563.JPEG,False,False,False,False
ILSVRC2012_val_00000567.JPEG,False,False,False,False
ILSVRC2012_val_00000569.JPEG,True,True,False,False
ILSVRC2012_val_00000570.JPEG,False,False,False,False
ILSVRC2012_val_00000571.JPEG,False,False,False,False
ILSVRC2012_val_00000572.JPEG,False,False,False,False
ILSVRC2012_val_00000573.JPEG,False,False,False,False
ILSVRC2012_val_00000575.JPEG,False,False,False,False
ILSVRC2012_val_00000576.JPEG,False,False,False,False
ILSVRC2012_val_00000577.JPEG,False,False,True,True
ILSVRC2012_val_00000578.JPEG,False,False,False,False
ILSVRC2012_val_00000579.JPEG,False,False,False,False
ILSVRC2012_val_00000581.JPEG,False,False,True,True
ILSVRC2012_val_00000582.JPEG,False,False,False,False
ILSVRC2012_val_00000583.JPEG,False,False,False,False
ILSVRC2012_val_00000586.JPEG,False,False,False,False
ILSVRC2012_val_00000587.JPEG,False,False,False,False
ILSVRC2012_val_00000590.JPEG,False,False,False,False
ILSVRC2012_val_00000591.JPEG,False,False,False,False
ILSVRC2012_val_00000595.JPEG,False,False,False,False
ILSVRC2012_val_00000596.JPEG,False,False,True,True
ILSVRC2012_val_00000599.JPEG,False,False,False,False
ILSVRC2012_val_00000600.JPEG,False,False,False,False
ILSVRC2012_val_00000602.JPEG,False,False,False,False
ILSVRC2012_val_00000604.JPEG,False,False,False,False
ILSVRC2012_val_00000605.JPEG,True,True,True,True
ILSVRC2012_val_00000607.JPEG,False,False,False,False
ILSVRC2012_val_00000608.JPEG,False,False,True,True
ILSVRC2012_val_00000609.JPEG,False,False,True,True
